id,fish,year,biomass,F
1325,Blue rockfish California,1994,0.247,0.108
1326,Blue rockfish California,1995,0.247,0.067
1327,Blue rockfish California,1996,0.274,0.054
1328,Blue rockfish California,1997,0.316,0.088
1329,Blue rockfish California,1998,0.348,0.072
1330,Blue rockfish California,1999,0.389,0.052
1331,Blue rockfish California,2000,0.432,0.034
1332,Blue rockfish California,2001,0.483,0.027
1333,Blue rockfish California,2002,0.538,0.032
1334,Blue rockfish California,2003,0.596,0.042
1335,Blue rockfish California,2004,0.646,0.03
1336,Blue rockfish California,2005,0.702,0.033
1337,Blue rockfish California,2006,0.744,0.06
1338,Blue rockfish California,2007,0.748,0.048
1339,Blue Warehou Eastern half of Southeast Australia,1984,3.1,NA
1340,Blue Warehou Eastern half of Southeast Australia,1985,2.26,NA
1341,Blue Warehou Eastern half of Southeast Australia,1986,4.57,NA
1342,Blue Warehou Eastern half of Southeast Australia,1987,6.25,NA
1343,Blue Warehou Eastern half of Southeast Australia,1988,8.09,NA
1344,Blue Warehou Eastern half of Southeast Australia,1989,8.01,NA
1345,Blue Warehou Eastern half of Southeast Australia,1990,6.61,NA
1346,Blue Warehou Eastern half of Southeast Australia,1991,4.53,NA
1347,Blue Warehou Eastern half of Southeast Australia,1992,3,NA
1348,Blue Warehou Eastern half of Southeast Australia,1993,2.11,NA
1349,Blue Warehou Eastern half of Southeast Australia,1994,1.74,NA
1350,Blue Warehou Eastern half of Southeast Australia,1995,1.5,NA
1351,Blue Warehou Eastern half of Southeast Australia,1996,1.73,NA
1352,Blue Warehou Eastern half of Southeast Australia,1997,1.93,NA
1353,Blue Warehou Eastern half of Southeast Australia,1998,1.56,NA
1354,Blue Warehou Eastern half of Southeast Australia,1999,1.01,NA
1355,Blue Warehou Eastern half of Southeast Australia,2000,0.569,NA
1356,Blue Warehou Eastern half of Southeast Australia,2001,0.438,NA
1357,Blue Warehou Eastern half of Southeast Australia,2002,0.423,NA
1358,Blue Warehou Eastern half of Southeast Australia,2003,0.453,NA
1359,Blue Warehou Eastern half of Southeast Australia,2004,0.513,NA
1360,Blue Warehou Eastern half of Southeast Australia,2005,0.472,NA
1361,Blue Warehou Eastern half of Southeast Australia,2006,0.488,NA
1362,Blue Warehou Western half of Southeast Australia,1984,1.64,NA
1363,Blue Warehou Western half of Southeast Australia,1985,1.28,NA
1364,Blue Warehou Western half of Southeast Australia,1986,2.89,NA
1365,Blue Warehou Western half of Southeast Australia,1987,2.52,NA
1366,Blue Warehou Western half of Southeast Australia,1988,1.95,NA
1367,Blue Warehou Western half of Southeast Australia,1989,1.81,NA
1368,Blue Warehou Western half of Southeast Australia,1990,1.84,NA
1369,Blue Warehou Western half of Southeast Australia,1991,1.52,NA
1370,Blue Warehou Western half of Southeast Australia,1992,0.931,NA
1371,Blue Warehou Western half of Southeast Australia,1993,0.592,NA
1372,Blue Warehou Western half of Southeast Australia,1994,0.456,NA
1373,Blue Warehou Western half of Southeast Australia,1995,0.323,NA
1374,Blue Warehou Western half of Southeast Australia,1996,0.297,NA
1375,Blue Warehou Western half of Southeast Australia,1997,0.543,NA
1376,Blue Warehou Western half of Southeast Australia,1998,0.614,NA
1377,Blue Warehou Western half of Southeast Australia,1999,0.363,NA
1378,Blue Warehou Western half of Southeast Australia,2000,0.267,NA
1379,Blue Warehou Western half of Southeast Australia,2001,0.209,NA
1380,Blue Warehou Western half of Southeast Australia,2002,0.212,NA
1381,Blue Warehou Western half of Southeast Australia,2003,0.254,NA
1382,Blue Warehou Western half of Southeast Australia,2004,0.494,NA
1383,Blue Warehou Western half of Southeast Australia,2005,0.538,NA
1384,Blue Warehou Western half of Southeast Australia,2006,0.413,NA
1466,Bluefin tuna Western Atlantic,1970,1.49,0.07
1467,Bluefin tuna Western Atlantic,1971,1.49,0.082
1468,Bluefin tuna Western Atlantic,1972,1.5,0.056
1469,Bluefin tuna Western Atlantic,1973,1.51,0.052
1470,Bluefin tuna Western Atlantic,1974,1.35,0.083
1471,Bluefin tuna Western Atlantic,1975,1.2,0.087
1472,Bluefin tuna Western Atlantic,1976,1.06,0.107
1473,Bluefin tuna Western Atlantic,1977,0.91,0.124
1474,Bluefin tuna Western Atlantic,1978,0.81,0.119
1475,Bluefin tuna Western Atlantic,1979,0.72,0.134
1476,Bluefin tuna Western Atlantic,1980,0.65,0.163
1477,Bluefin tuna Western Atlantic,1981,0.56,0.177
1478,Bluefin tuna Western Atlantic,1982,0.52,0.048
1479,Bluefin tuna Western Atlantic,1983,0.5,0.081
1480,Bluefin tuna Western Atlantic,1984,0.48,0.073
1481,Bluefin tuna Western Atlantic,1985,0.43,0.099
1482,Bluefin tuna Western Atlantic,1986,0.44,0.082
1483,Bluefin tuna Western Atlantic,1987,0.42,0.09
1484,Bluefin tuna Western Atlantic,1988,0.41,0.103
1485,Bluefin tuna Western Atlantic,1989,0.4,0.099
1486,Bluefin tuna Western Atlantic,1990,0.38,0.099
1487,Bluefin tuna Western Atlantic,1991,0.37,0.101
1488,Bluefin tuna Western Atlantic,1992,0.36,0.084
1489,Bluefin tuna Western Atlantic,1993,0.37,0.08
1490,Bluefin tuna Western Atlantic,1994,0.36,0.075
1491,Bluefin tuna Western Atlantic,1995,0.37,0.082
1492,Bluefin tuna Western Atlantic,1996,0.4,0.085
1493,Bluefin tuna Western Atlantic,1997,0.43,0.082
1494,Bluefin tuna Western Atlantic,1998,0.43,0.092
1495,Bluefin tuna Western Atlantic,1999,0.41,0.1
1496,Bluefin tuna Western Atlantic,2000,0.4,0.098
1497,Bluefin tuna Western Atlantic,2001,0.38,0.103
1498,Bluefin tuna Western Atlantic,2002,0.37,0.129
1499,Bluefin tuna Western Atlantic,2003,0.35,0.094
1500,Bluefin tuna Western Atlantic,2004,0.36,0.083
1501,Bluefin tuna Western Atlantic,2005,0.38,0.073
1502,Bluefin tuna Western Atlantic,2006,0.38,0.081
1503,Bluefin tuna Western Atlantic,2007,0.4,0.061
1504,Bluefin tuna Western Atlantic,2008,0.41,0.073
1505,Bluefin tuna Western Atlantic,2009,0.41,0.067
1507,Canary rockfish Pacific Coast,1916,2.66,NA
1508,Canary rockfish Pacific Coast,1917,2.66,NA
1509,Canary rockfish Pacific Coast,1918,2.66,NA
1510,Canary rockfish Pacific Coast,1919,2.65,NA
1511,Canary rockfish Pacific Coast,1920,2.65,NA
1512,Canary rockfish Pacific Coast,1921,2.65,NA
1513,Canary rockfish Pacific Coast,1922,2.65,NA
1514,Canary rockfish Pacific Coast,1923,2.65,NA
1515,Canary rockfish Pacific Coast,1924,2.65,NA
1516,Canary rockfish Pacific Coast,1925,2.65,NA
1517,Canary rockfish Pacific Coast,1926,2.65,NA
1518,Canary rockfish Pacific Coast,1927,2.64,NA
1519,Canary rockfish Pacific Coast,1928,2.64,NA
1520,Canary rockfish Pacific Coast,1929,2.64,NA
1521,Canary rockfish Pacific Coast,1930,2.64,NA
1522,Canary rockfish Pacific Coast,1931,2.64,NA
1523,Canary rockfish Pacific Coast,1932,2.63,NA
1524,Canary rockfish Pacific Coast,1933,2.63,NA
1525,Canary rockfish Pacific Coast,1934,2.63,NA
1526,Canary rockfish Pacific Coast,1935,2.63,NA
1527,Canary rockfish Pacific Coast,1936,2.63,NA
1528,Canary rockfish Pacific Coast,1937,2.63,NA
1529,Canary rockfish Pacific Coast,1938,2.63,NA
1530,Canary rockfish Pacific Coast,1939,2.62,NA
1531,Canary rockfish Pacific Coast,1940,2.62,NA
1532,Canary rockfish Pacific Coast,1941,2.62,NA
1533,Canary rockfish Pacific Coast,1942,2.61,NA
1534,Canary rockfish Pacific Coast,1943,2.6,NA
1535,Canary rockfish Pacific Coast,1944,2.54,NA
1536,Canary rockfish Pacific Coast,1945,2.47,NA
1537,Canary rockfish Pacific Coast,1946,2.32,NA
1538,Canary rockfish Pacific Coast,1947,2.24,NA
1539,Canary rockfish Pacific Coast,1948,2.2,NA
1540,Canary rockfish Pacific Coast,1949,2.17,NA
1541,Canary rockfish Pacific Coast,1950,2.15,NA
1542,Canary rockfish Pacific Coast,1951,2.13,NA
1543,Canary rockfish Pacific Coast,1952,2.11,NA
1544,Canary rockfish Pacific Coast,1953,2.09,NA
1545,Canary rockfish Pacific Coast,1954,2.08,NA
1546,Canary rockfish Pacific Coast,1955,2.07,NA
1547,Canary rockfish Pacific Coast,1956,2.05,NA
1548,Canary rockfish Pacific Coast,1957,2.02,NA
1549,Canary rockfish Pacific Coast,1958,1.98,NA
1550,Canary rockfish Pacific Coast,1959,1.96,NA
1551,Canary rockfish Pacific Coast,1960,1.94,NA
1552,Canary rockfish Pacific Coast,1961,1.92,NA
1553,Canary rockfish Pacific Coast,1962,1.9,NA
1554,Canary rockfish Pacific Coast,1963,1.86,NA
1555,Canary rockfish Pacific Coast,1964,1.86,NA
1556,Canary rockfish Pacific Coast,1965,1.84,NA
1557,Canary rockfish Pacific Coast,1966,1.82,NA
1558,Canary rockfish Pacific Coast,1967,1.79,NA
1559,Canary rockfish Pacific Coast,1968,1.8,NA
1560,Canary rockfish Pacific Coast,1969,1.78,NA
1561,Canary rockfish Pacific Coast,1970,1.77,NA
1562,Canary rockfish Pacific Coast,1971,1.76,NA
1563,Canary rockfish Pacific Coast,1972,1.72,NA
1564,Canary rockfish Pacific Coast,1973,1.7,NA
1565,Canary rockfish Pacific Coast,1974,1.66,NA
1566,Canary rockfish Pacific Coast,1975,1.63,NA
1567,Canary rockfish Pacific Coast,1976,1.62,NA
1568,Canary rockfish Pacific Coast,1977,1.61,NA
1569,Canary rockfish Pacific Coast,1978,1.57,NA
1570,Canary rockfish Pacific Coast,1979,1.45,NA
1571,Canary rockfish Pacific Coast,1980,1.38,NA
1572,Canary rockfish Pacific Coast,1981,1.26,NA
1573,Canary rockfish Pacific Coast,1982,1.18,NA
1574,Canary rockfish Pacific Coast,1983,1.03,NA
1575,Canary rockfish Pacific Coast,1984,0.892,NA
1576,Canary rockfish Pacific Coast,1985,0.853,NA
1577,Canary rockfish Pacific Coast,1986,0.804,NA
1578,Canary rockfish Pacific Coast,1987,0.765,NA
1579,Canary rockfish Pacific Coast,1988,0.697,NA
1580,Canary rockfish Pacific Coast,1989,0.63,NA
1581,Canary rockfish Pacific Coast,1990,0.549,NA
1582,Canary rockfish Pacific Coast,1991,0.488,NA
1583,Canary rockfish Pacific Coast,1992,0.408,NA
1584,Canary rockfish Pacific Coast,1993,0.343,NA
1585,Canary rockfish Pacific Coast,1994,0.302,NA
1586,Canary rockfish Pacific Coast,1995,0.303,NA
1587,Canary rockfish Pacific Coast,1996,0.31,NA
1588,Canary rockfish Pacific Coast,1997,0.304,NA
1589,Canary rockfish Pacific Coast,1998,0.299,NA
1590,Canary rockfish Pacific Coast,1999,0.289,NA
1591,Canary rockfish Pacific Coast,2000,0.299,NA
1592,Canary rockfish Pacific Coast,2001,0.333,NA
1593,Canary rockfish Pacific Coast,2002,0.368,NA
1594,Canary rockfish Pacific Coast,2003,0.401,NA
1595,Canary rockfish Pacific Coast,2004,0.432,NA
1596,Canary rockfish Pacific Coast,2005,0.462,NA
1597,Canary rockfish Pacific Coast,2006,0.491,NA
1598,Canary rockfish Pacific Coast,2007,0.519,NA
1599,Canary rockfish Pacific Coast,2008,0.547,NA
1600,Canary rockfish Pacific Coast,2009,0.573,NA
1601,Canary rockfish Pacific Coast,2010,0.598,NA
1602,Canary rockfish Pacific Coast,2011,0.617,NA
1603,common gemfish Southeast Australia,1966,2.08,NA
1604,common gemfish Southeast Australia,1967,2.08,NA
1605,common gemfish Southeast Australia,1968,2.08,NA
1606,common gemfish Southeast Australia,1969,1.91,NA
1607,common gemfish Southeast Australia,1970,1.77,NA
1608,common gemfish Southeast Australia,1971,1.66,NA
1609,common gemfish Southeast Australia,1972,1.57,NA
1610,common gemfish Southeast Australia,1973,1.54,NA
1611,common gemfish Southeast Australia,1974,1.59,NA
1612,common gemfish Southeast Australia,1975,1.68,NA
1613,common gemfish Southeast Australia,1976,1.86,NA
1614,common gemfish Southeast Australia,1977,2.02,NA
1615,common gemfish Southeast Australia,1978,2.15,NA
1616,common gemfish Southeast Australia,1979,1.98,NA
1617,common gemfish Southeast Australia,1980,1.82,NA
1618,common gemfish Southeast Australia,1981,1.46,NA
1619,common gemfish Southeast Australia,1982,1.18,NA
1620,common gemfish Southeast Australia,1983,0.943,NA
1621,common gemfish Southeast Australia,1984,0.838,NA
1622,common gemfish Southeast Australia,1985,0.851,NA
1623,common gemfish Southeast Australia,1986,0.923,NA
1624,common gemfish Southeast Australia,1987,0.933,NA
1625,common gemfish Southeast Australia,1988,0.8,NA
1626,common gemfish Southeast Australia,1989,0.619,NA
1627,common gemfish Southeast Australia,1990,0.532,NA
1628,common gemfish Southeast Australia,1991,0.451,NA
1629,common gemfish Southeast Australia,1992,0.383,NA
1630,common gemfish Southeast Australia,1993,0.281,NA
1631,common gemfish Southeast Australia,1994,0.235,NA
1632,common gemfish Southeast Australia,1995,0.262,NA
1633,common gemfish Southeast Australia,1996,0.287,NA
1634,common gemfish Southeast Australia,1997,0.27,NA
1635,common gemfish Southeast Australia,1998,0.216,NA
1636,common gemfish Southeast Australia,1999,0.17,NA
1637,common gemfish Southeast Australia,2000,0.138,NA
1638,common gemfish Southeast Australia,2001,0.131,NA
1639,common gemfish Southeast Australia,2002,0.133,NA
1640,common gemfish Southeast Australia,2003,0.14,NA
1641,common gemfish Southeast Australia,2004,0.144,NA
1642,common gemfish Southeast Australia,2005,0.154,NA
1643,common gemfish Southeast Australia,2006,0.189,NA
1644,common gemfish Southeast Australia,2007,0.249,NA
1645,Cusk NAFO 4X,1970,1.84,NA
1646,Cusk NAFO 4X,1971,1.93,NA
1647,Cusk NAFO 4X,1972,2,NA
1648,Cusk NAFO 4X,1973,1.89,NA
1649,Cusk NAFO 4X,1974,2,NA
1650,Cusk NAFO 4X,1975,1.92,NA
1651,Cusk NAFO 4X,1976,1.91,NA
1652,Cusk NAFO 4X,1977,1.94,NA
1653,Cusk NAFO 4X,1978,1.93,NA
1654,Cusk NAFO 4X,1979,1.72,NA
1655,Cusk NAFO 4X,1980,1.5,NA
1656,Cusk NAFO 4X,1981,1.74,NA
1657,Cusk NAFO 4X,1982,1.74,NA
1658,Cusk NAFO 4X,1983,1.57,NA
1659,Cusk NAFO 4X,1984,1.67,NA
1660,Cusk NAFO 4X,1985,1.41,NA
1661,Cusk NAFO 4X,1986,1.37,NA
1662,Cusk NAFO 4X,1987,1.68,NA
1663,Cusk NAFO 4X,1988,1.52,NA
1664,Cusk NAFO 4X,1989,1.4,NA
1665,Cusk NAFO 4X,1990,1.26,NA
1666,Cusk NAFO 4X,1991,1.5,NA
1667,Cusk NAFO 4X,1992,1.08,NA
1668,Cusk NAFO 4X,1993,0.733,NA
1669,Cusk NAFO 4X,1994,0.67,NA
1670,Cusk NAFO 4X,1995,0.727,NA
1671,Cusk NAFO 4X,1996,0.705,NA
1672,Cusk NAFO 4X,1997,0.743,NA
1673,Cusk NAFO 4X,1998,0.661,NA
1674,Cusk NAFO 4X,1999,0.697,NA
1675,Cusk NAFO 4X,2000,0.724,NA
1676,Cusk NAFO 4X,2001,0.747,NA
1677,Cusk NAFO 4X,2002,0.649,NA
1678,Cusk NAFO 4X,2003,0.458,NA
1679,Cusk NAFO 4X,2004,0.583,NA
1680,Cusk NAFO 4X,2005,0.542,NA
1681,Cusk NAFO 4X,2006,0.537,NA
1682,Cusk NAFO 4X,2007,0.655,NA
1683,Deep-water cape hake South Africa,1917,5.08,NA
1684,Deep-water cape hake South Africa,1918,5.08,NA
1685,Deep-water cape hake South Africa,1919,5.08,NA
1686,Deep-water cape hake South Africa,1920,5.08,NA
1687,Deep-water cape hake South Africa,1921,5.08,NA
1688,Deep-water cape hake South Africa,1922,5.08,NA
1689,Deep-water cape hake South Africa,1923,5.08,NA
1690,Deep-water cape hake South Africa,1924,5.08,NA
1691,Deep-water cape hake South Africa,1925,5.08,NA
1692,Deep-water cape hake South Africa,1926,5.08,NA
1693,Deep-water cape hake South Africa,1927,5.08,NA
1694,Deep-water cape hake South Africa,1928,5.08,NA
1695,Deep-water cape hake South Africa,1929,5.08,NA
1696,Deep-water cape hake South Africa,1930,5.08,NA
1697,Deep-water cape hake South Africa,1931,5.08,NA
1698,Deep-water cape hake South Africa,1932,5.08,NA
1699,Deep-water cape hake South Africa,1933,5.08,NA
1700,Deep-water cape hake South Africa,1934,5.08,NA
1701,Deep-water cape hake South Africa,1935,5.08,NA
1702,Deep-water cape hake South Africa,1936,5.08,NA
1703,Deep-water cape hake South Africa,1937,5.08,NA
1704,Deep-water cape hake South Africa,1938,5.08,NA
1705,Deep-water cape hake South Africa,1939,5.08,NA
1706,Deep-water cape hake South Africa,1940,5.08,NA
1707,Deep-water cape hake South Africa,1941,5.08,NA
1708,Deep-water cape hake South Africa,1942,5.08,NA
1709,Deep-water cape hake South Africa,1943,5.08,NA
1710,Deep-water cape hake South Africa,1944,5.08,NA
1711,Deep-water cape hake South Africa,1945,5.08,NA
1712,Deep-water cape hake South Africa,1946,5.08,NA
1713,Deep-water cape hake South Africa,1947,5.08,NA
1714,Deep-water cape hake South Africa,1948,5.08,NA
1715,Deep-water cape hake South Africa,1949,5.08,NA
1716,Deep-water cape hake South Africa,1950,5.08,NA
1717,Deep-water cape hake South Africa,1951,5.07,NA
1718,Deep-water cape hake South Africa,1952,5.07,NA
1719,Deep-water cape hake South Africa,1953,5.06,NA
1720,Deep-water cape hake South Africa,1954,5.06,NA
1721,Deep-water cape hake South Africa,1955,5.04,NA
1722,Deep-water cape hake South Africa,1956,5,NA
1723,Deep-water cape hake South Africa,1957,4.94,NA
1724,Deep-water cape hake South Africa,1958,4.83,NA
1725,Deep-water cape hake South Africa,1959,4.66,NA
1726,Deep-water cape hake South Africa,1960,4.41,NA
1727,Deep-water cape hake South Africa,1961,4.1,NA
1728,Deep-water cape hake South Africa,1962,3.77,NA
1729,Deep-water cape hake South Africa,1963,3.45,NA
1730,Deep-water cape hake South Africa,1964,3.1,NA
1731,Deep-water cape hake South Africa,1965,2.78,NA
1732,Deep-water cape hake South Africa,1966,2.4,NA
1733,Deep-water cape hake South Africa,1967,2.07,NA
1734,Deep-water cape hake South Africa,1968,1.78,NA
1735,Deep-water cape hake South Africa,1969,1.59,NA
1736,Deep-water cape hake South Africa,1970,1.39,NA
1737,Deep-water cape hake South Africa,1971,1.27,NA
1738,Deep-water cape hake South Africa,1972,1.05,NA
1739,Deep-water cape hake South Africa,1973,0.73,NA
1740,Deep-water cape hake South Africa,1974,0.53,NA
1741,Deep-water cape hake South Africa,1975,0.41,NA
1742,Deep-water cape hake South Africa,1976,0.41,NA
1743,Deep-water cape hake South Africa,1977,0.37,NA
1744,Deep-water cape hake South Africa,1978,0.4,NA
1745,Deep-water cape hake South Africa,1979,0.42,NA
1746,Deep-water cape hake South Africa,1980,0.44,NA
1747,Deep-water cape hake South Africa,1981,0.47,NA
1748,Deep-water cape hake South Africa,1982,0.51,NA
1749,Deep-water cape hake South Africa,1983,0.57,NA
1750,Deep-water cape hake South Africa,1984,0.67,NA
1751,Deep-water cape hake South Africa,1985,0.76,NA
1752,Deep-water cape hake South Africa,1986,0.81,NA
1753,Deep-water cape hake South Africa,1987,0.81,NA
1754,Deep-water cape hake South Africa,1988,0.8,NA
1755,Deep-water cape hake South Africa,1989,0.8,NA
1756,Deep-water cape hake South Africa,1990,0.83,NA
1757,Deep-water cape hake South Africa,1991,0.91,NA
1758,Deep-water cape hake South Africa,1992,0.98,NA
1759,Deep-water cape hake South Africa,1993,1.01,NA
1760,Deep-water cape hake South Africa,1994,0.99,NA
1761,Deep-water cape hake South Africa,1995,0.94,NA
1762,Deep-water cape hake South Africa,1996,0.91,NA
1763,Deep-water cape hake South Africa,1997,0.89,NA
1764,Deep-water cape hake South Africa,1998,0.91,NA
1765,Deep-water cape hake South Africa,1999,0.89,NA
1766,Deep-water cape hake South Africa,2000,0.89,NA
1767,Deep-water cape hake South Africa,2001,0.82,NA
1768,Deep-water cape hake South Africa,2002,0.69,NA
1769,Deep-water cape hake South Africa,2003,0.61,NA
1770,Deep-water cape hake South Africa,2004,0.57,NA
1771,Deep-water cape hake South Africa,2005,0.53,NA
1772,Deep-water cape hake South Africa,2006,0.47,NA
1773,Deep-water cape hake South Africa,2007,0.46,NA
1774,Deep-water cape hake South Africa,2008,0.54,NA
1775,Deep-water cape hake South Africa,2009,0.66,NA
1776,Deep-water cape hake South Africa,2010,0.81,NA
1777,Deep-water cape hake South Africa,2011,0.93,NA
1778,Deep-water cape hake South Africa,2012,0.98,NA
1779,Deep-water cape hake South Africa,2013,0.96,NA
1783,Flathead sole Bering Sea and Aleutian Islands,1977,0.186,0.271
1784,Flathead sole Bering Sea and Aleutian Islands,1978,0.167,0.244
1785,Flathead sole Bering Sea and Aleutian Islands,1979,0.158,0.142
1786,Flathead sole Bering Sea and Aleutian Islands,1980,0.166,0.137
1787,Flathead sole Bering Sea and Aleutian Islands,1981,0.194,0.1
1788,Flathead sole Bering Sea and Aleutian Islands,1982,0.264,0.0631
1789,Flathead sole Bering Sea and Aleutian Islands,1983,0.395,0.0551
1790,Flathead sole Bering Sea and Aleutian Islands,1984,0.583,0.0368
1791,Flathead sole Bering Sea and Aleutian Islands,1985,0.785,0.038
1792,Flathead sole Bering Sea and Aleutian Islands,1986,0.978,0.0292
1793,Flathead sole Bering Sea and Aleutian Islands,1987,1.16,0.0171
1794,Flathead sole Bering Sea and Aleutian Islands,1988,1.35,0.0279
1795,Flathead sole Bering Sea and Aleutian Islands,1989,1.55,0.0131
1796,Flathead sole Bering Sea and Aleutian Islands,1990,1.78,0.0669
1797,Flathead sole Bering Sea and Aleutian Islands,1991,1.96,0.0434
1798,Flathead sole Bering Sea and Aleutian Islands,1992,2.12,0.0408
1799,Flathead sole Bering Sea and Aleutian Islands,1993,2.25,0.0358
1800,Flathead sole Bering Sea and Aleutian Islands,1994,2.4,0.0426
1801,Flathead sole Bering Sea and Aleutian Islands,1995,2.57,0.0352
1802,Flathead sole Bering Sea and Aleutian Islands,1996,2.7,0.0406
1803,Flathead sole Bering Sea and Aleutian Islands,1997,2.79,0.0481
1804,Flathead sole Bering Sea and Aleutian Islands,1998,2.77,0.0585
1805,Flathead sole Bering Sea and Aleutian Islands,1999,2.69,0.0447
1806,Flathead sole Bering Sea and Aleutian Islands,2000,2.61,0.0502
1807,Flathead sole Bering Sea and Aleutian Islands,2001,2.52,0.0448
1808,Flathead sole Bering Sea and Aleutian Islands,2002,2.44,0.0404
1809,Flathead sole Bering Sea and Aleutian Islands,2003,2.35,0.038
1810,Flathead sole Bering Sea and Aleutian Islands,2004,2.27,0.0478
1811,Flathead sole Bering Sea and Aleutian Islands,2005,2.19,0.0455
1812,Flathead sole Bering Sea and Aleutian Islands,2006,2.14,0.0516
1813,Flathead sole Bering Sea and Aleutian Islands,2007,2.1,0.0547
1814,Flathead sole Bering Sea and Aleutian Islands,2008,2.07,0.0725
1815,Flathead sole Bering Sea and Aleutian Islands,2009,2.04,0.0578
1816,Flathead sole Bering Sea and Aleutian Islands,2010,2.04,0.0569
1896,Haddock Georges Bank,1960,1.1,0.26
1897,Haddock Georges Bank,1961,1.38,0.26
1898,Haddock Georges Bank,1962,1.44,0.35
1899,Haddock Georges Bank,1963,1.31,0.36
1900,Haddock Georges Bank,1964,1.34,0.51
1901,Haddock Georges Bank,1965,1.74,0.68
1902,Haddock Georges Bank,1966,1.5,0.63
1903,Haddock Georges Bank,1967,0.852,0.59
1904,Haddock Georges Bank,1968,0.575,0.58
1905,Haddock Georges Bank,1969,0.382,0.47
1906,Haddock Georges Bank,1970,0.28,0.34
1907,Haddock Georges Bank,1971,0.198,0.56
1908,Haddock Georges Bank,1972,0.186,0.34
1909,Haddock Georges Bank,1973,0.127,0.28
1910,Haddock Georges Bank,1974,0.238,0.07
1911,Haddock Georges Bank,1975,0.177,0.08
1912,Haddock Georges Bank,1976,0.229,0.09
1913,Haddock Georges Bank,1977,0.399,0.25
1914,Haddock Georges Bank,1978,0.615,0.32
1915,Haddock Georges Bank,1979,0.58,0.34
1916,Haddock Georges Bank,1980,0.57,0.52
1917,Haddock Georges Bank,1981,0.493,0.4
1918,Haddock Georges Bank,1982,0.396,0.3
1919,Haddock Georges Bank,1983,0.31,0.31
1920,Haddock Georges Bank,1984,0.216,0.43
1921,Haddock Georges Bank,1985,0.16,0.35
1922,Haddock Georges Bank,1986,0.168,0.29
1923,Haddock Georges Bank,1987,0.167,0.24
1924,Haddock Georges Bank,1988,0.158,0.36
1925,Haddock Georges Bank,1989,0.164,0.32
1926,Haddock Georges Bank,1990,0.195,0.37
1927,Haddock Georges Bank,1991,0.176,0.41
1928,Haddock Georges Bank,1992,0.132,0.54
1929,Haddock Georges Bank,1993,0.119,0.42
1930,Haddock Georges Bank,1994,0.162,0.45
1931,Haddock Georges Bank,1995,0.214,0.12
1932,Haddock Georges Bank,1996,0.285,0.16
1933,Haddock Georges Bank,1997,0.349,0.11
1934,Haddock Georges Bank,1998,0.407,0.15
1935,Haddock Georges Bank,1999,0.477,0.16
1936,Haddock Georges Bank,2000,0.589,0.17
1937,Haddock Georges Bank,2001,0.704,0.23
1938,Haddock Georges Bank,2002,0.803,0.24
1939,Haddock Georges Bank,2003,0.955,0.22
1940,Haddock Georges Bank,2004,0.866,0.31
1941,Haddock Georges Bank,2005,1.01,0.33
1942,Haddock Georges Bank,2006,1.8,0.26
1943,Haddock Georges Bank,2007,2.02,0.19
1944,Haddock Georges Bank,2008,1.91,0.13
1945,Haddock Georges Bank,2009,1.69,0.14
1946,Haddock Georges Bank,2010,1.34,0.18
1947,Haddock NAFO-4X5Y,1970,1.35,NA
1948,Haddock NAFO-4X5Y,1971,0.962,NA
1949,Haddock NAFO-4X5Y,1972,0.781,NA
1950,Haddock NAFO-4X5Y,1973,0.788,NA
1951,Haddock NAFO-4X5Y,1974,0.652,NA
1952,Haddock NAFO-4X5Y,1975,0.841,NA
1953,Haddock NAFO-4X5Y,1976,0.976,NA
1954,Haddock NAFO-4X5Y,1977,0.912,NA
1955,Haddock NAFO-4X5Y,1978,1.17,NA
1956,Haddock NAFO-4X5Y,1979,1.34,NA
1957,Haddock NAFO-4X5Y,1980,1.23,NA
1958,Haddock NAFO-4X5Y,1981,1.23,NA
1959,Haddock NAFO-4X5Y,1982,1.09,NA
1960,Haddock NAFO-4X5Y,1983,0.97,NA
1961,Haddock NAFO-4X5Y,1984,0.793,NA
1962,Haddock NAFO-4X5Y,1985,0.647,NA
1963,Haddock NAFO-4X5Y,1986,0.7,NA
1964,Haddock NAFO-4X5Y,1987,0.642,NA
1965,Haddock NAFO-4X5Y,1988,0.528,NA
1966,Haddock NAFO-4X5Y,1989,0.393,NA
1967,Haddock NAFO-4X5Y,1990,0.356,NA
1968,Haddock NAFO-4X5Y,1991,0.511,NA
1969,Haddock NAFO-4X5Y,1992,0.566,NA
1970,Haddock NAFO-4X5Y,1993,0.425,NA
1971,Haddock NAFO-4X5Y,1994,0.39,NA
1972,Haddock NAFO-4X5Y,1995,0.432,NA
1973,Haddock NAFO-4X5Y,1996,0.503,NA
1974,Haddock NAFO-4X5Y,1997,0.536,NA
1975,Haddock NAFO-4X5Y,1998,0.526,NA
1976,Haddock NAFO-4X5Y,1999,0.413,NA
1977,Haddock NAFO-4X5Y,2000,0.421,NA
1978,Haddock NAFO-4X5Y,2001,0.395,NA
1979,Haddock NAFO-4X5Y,2002,0.458,NA
1980,Haddock NAFO-4X5Y,2003,0.507,NA
1981,Haddock NAFO-4X5Y,2004,0.523,NA
1982,Haddock NAFO-4X5Y,2005,0.493,NA
1983,Haddock NAFO-4X5Y,2006,0.452,NA
1984,Haddock NAFO-4X5Y,2007,0.732,NA
